,rows,list
0,300,"{'ano_mes': 201801, 'cod_estabelecimento_cnes': '0010510', 'estabelecimento_cnes': 'HOSPITAL UNIVERSITARIO DE BRASILIA', 'complexidade': 'Alta complexidade', 'cod_grupo': '04', 'grupo': '04 - Procedimentos Cirúrgicos', 'cod_subgrupo': '0418', 'subgrupo': 'Sub Grupo: 18 - Cirurgia em nefrologia', 'cod_procedimento': '0418010064', 'procedimento': 'Implante de Cateter Duplo Lumen p/hemodialise', 'quantidade': 2, 'cod_carater_atendimento': '01', 'carater_atendimento': 'Eletivo', 'cod_form_organização': '041801'}"
1,300,"{'ano_mes': 201801, 'cod_estabelecimento_cnes': '0010456', 'estabelecimento_cnes': 'INSTITUTO HOSPITAL DE BASE DO DISTRITO FEDERAL', 'complexidade': 'Alta complexidade', 'cod_grupo': '04', 'grupo': '04 - Procedimentos Cirúrgicos', 'cod_subgrupo': '0405', 'subgrupo': 'Sub Grupo: 05 - Cirurgia do aparelho da visão', 'cod_procedimento': '0405050372', 'procedimento': 'Facoemulsificacão c/ Implante de Lente Intra-ocular Dobravel', 'quantidade': 1, 'cod_carater_atendimento': '01', 'carater_atendimento': 'Eletivo', 'cod_form_organização': '040505'}"
2,300,"{'ano_mes': 201801, 'cod_estabelecimento_cnes': '0010456', 'estabelecimento_cnes': 'INSTITUTO HOSPITAL DE BASE DO DISTRITO FEDERAL', 'complexidade': 'Alta complexidade', 'cod_grupo': '04', 'grupo': '04 - Procedimentos Cirúrgicos', 'cod_subgrupo': '0405', 'subgrupo': 'Sub Grupo: 05 - Cirurgia do aparelho da visão', 'cod_procedimento': '0405050372', 'procedimento': 'Facoemulsificacão c/ Implante de Lente Intra-ocular Dobravel', 'quantidade': 1, 'cod_carater_atendimento': '01', 'carater_atendimento': 'Eletivo', 'cod_form_organização': '040505'}"
3,300,"{'ano_mes': 201801, 'cod_estabelecimento_cnes': '3055450', 'estabelecimento_cnes': 'CBV', 'complexidade': 'Alta complexidade', 'cod_grupo': '04', 'grupo': '04 - Procedimentos Cirúrgicos', 'cod_subgrupo': '0405', 'subgrupo': 'Sub Grupo: 05 - Cirurgia do aparelho da visão', 'cod_procedimento': '0405050372', 'procedimento': 'Facoemulsificacão c/ Implante de Lente Intra-ocular Dobravel', 'quantidade': 1, 'cod_carater_atendimento': '01', 'carater_atendimento': 'Eletivo', 'cod_form_organização': '040505'}"
4,300,"{'ano_mes': 201801, 'cod_estabelecimento_cnes': '3055450', 'estabelecimento_cnes': 'CBV', 'complexidade': 'Alta complexidade', 'cod_grupo': '04', 'grupo': '04 - Procedimentos Cirúrgicos', 'cod_subgrupo': '0405', 'subgrupo': 'Sub Grupo: 05 - Cirurgia do aparelho da visão', 'cod_procedimento': '0405050372', 'procedimento': 'Facoemulsificacão c/ Implante de Lente Intra-ocular Dobravel', 'quantidade': 1, 'cod_carater_atendimento': '01', 'carater_atendimento': 'Eletivo', 'cod_form_organização': '040505'}"
5,300,"{'ano_mes': 201801, 'cod_estabelecimento_cnes': '3055450', 'estabelecimento_cnes': 'CBV', 'complexidade': 'Alta complexidade', 'cod_grupo': '04', 'grupo': '04 - Procedimentos Cirúrgicos', 'cod_subgrupo': '0405', 'subgrupo': 'Sub Grupo: 05 - Cirurgia do aparelho da visão', 'cod_procedimento': '0405050372', 'procedimento': 'Facoemulsificacão c/ Implante de Lente Intra-ocular Dobravel', 'quantidade': 1, 'cod_carater_atendimento': '01', 'carater_atendimento': 'Eletivo', 'cod_form_organização': '040505'}"
6,300,"{'ano_mes': 201801, 'cod_estabelecimento_cnes': '3055450', 'estabelecimento_cnes': 'CBV', 'complexidade': 'Alta complexidade', 'cod_grupo': '04', 'grupo': '04 - Procedimentos Cirúrgicos', 'cod_subgrupo': '0405', 'subgrupo': 'Sub Grupo: 05 - Cirurgia do aparelho da visão', 'cod_procedimento': '0405050372', 'procedimento': 'Facoemulsificacão c/ Implante de Lente Intra-ocular Dobravel', 'quantidade': 1, 'cod_carater_atendimento': '01', 'carater_atendimento': 'Eletivo', 'cod_form_organização': '040505'}"
7,300,"{'ano_mes': 201801, 'cod_estabelecimento_cnes': '0010456', 'estabelecimento_cnes': 'INSTITUTO HOSPITAL DE BASE DO DISTRITO FEDERAL', 'complexidade': 'Alta complexidade', 'cod_grupo': '04', 'grupo': '04 - Procedimentos Cirúrgicos', 'cod_subgrupo': '0405', 'subgrupo': 'Sub Grupo: 05 - Cirurgia do aparelho da visão', 'cod_procedimento': '0405050372', 'procedimento': 'Facoemulsificacão c/ Implante de Lente Intra-ocular Dobravel', 'quantidade': 1, 'cod_carater_atendimento': '01', 'carater_atendimento': 'Eletivo', 'cod_form_organização': '040505'}"
8,300,"{'ano_mes': 201801, 'cod_estabelecimento_cnes': '0010456', 'estabelecimento_cnes': 'INSTITUTO HOSPITAL DE BASE DO DISTRITO FEDERAL', 'complexidade': 'Alta complexidade', 'cod_grupo': '04', 'grupo': '04 - Procedimentos Cirúrgicos', 'cod_subgrupo': '0405', 'subgrupo': 'Sub Grupo: 05 - Cirurgia do aparelho da visão', 'cod_procedimento': '0405050372', 'procedimento': 'Facoemulsificacão c/ Implante de Lente Intra-ocular Dobravel', 'quantidade': 1, 'cod_carater_atendimento': '01', 'carater_atendimento': 'Eletivo', 'cod_form_organização': '040505'}"
9,300,"{'ano_mes': 201801, 'cod_estabelecimento_cnes': '0010456', 'estabelecimento_cnes': 'INSTITUTO HOSPITAL DE BASE DO DISTRITO FEDERAL', 'complexidade': 'Alta complexidade', 'cod_grupo': '04', 'grupo': '04 - Procedimentos Cirúrgicos', 'cod_subgrupo': '0405', 'subgrupo': 'Sub Grupo: 05 - Cirurgia do aparelho da visão', 'cod_procedimento': '0405050372', 'procedimento': 'Facoemulsificacão c/ Implante de Lente Intra-ocular Dobravel', 'quantidade': 1, 'cod_carater_atendimento': '01', 'carater_atendimento': 'Eletivo', 'cod_form_organização': '040505'}"
